URI_Name,Provincia,Canton,Parroquia,Tipo,EstudiantesFemenino,EstudiantesMasculino,Total_Alumnos
COLEGIODEBACHILLERATORAFAELRODRIGUEZPALACIOS,Loja_Province,LOJA,MALACATOS(VALLADOLID),COLEGIO DE BACHILLERATO RAFAEL RODRIGUEZ PALACIOS,4,16,3
COLEGIODEBACHILLERATORAMONRIOFRIOBUSTAMANTE,Loja_Province,PINDAL,CHAQUINAL,COLEGIO DE BACHILLERATO RAMON RIOFRIO BUSTAMANTE,9,2,60
COLEGIODEBACHILLERATOROSAHERLINDAGARCIADEGARCIA,Loja_Province,ESPINDOLA,AMALUZA,COLEGIO DE BACHILLERATO ROSA HERLINDA GARCIA DE GARCIA,14,2,149
COLEGIODEBACHILLERATORVDOJORGESANCHEZMORENO,Loja_Province,MACARA,SABIANGO(LACAPILLA),COLEGIO DE BACHILLERATO RVDO JORGE SANCHEZ MORENO,10,6,17
COLEGIODEBACHILLERATOSANPEDRODEVILCABAMBA,Loja_Province,LOJA,SANPEDRODEVILCABAMBA,COLEGIO DE BACHILLERATO SAN PEDRO DE VILCABAMBA,7,13,4
COLEGIODEBACHILLERATOSANVICENTEFERRER,Loja_Province,LOJA,CHUQUIRIBAMBA,COLEGIO DE BACHILLERATO SAN VICENTE FERRER,23,4,92
COLEGIODEBACHILLERATOTNTEMAXIMILIANORODRIGUEZ,Loja_Province,CELICA,POZUL(SANJUANDEPOZUL),COLEGIO DE BACHILLERATO TNTE MAXIMILIANO RODRIGUEZ,19,5,160
COLEGIODEBACHILLERATOTRECEDENOVIEMBRE,Loja_Province,CELICA,SABANILLA,COLEGIO DE BACHILLERATO TRECE DE NOVIEMBRE,11,4,71
COLEGIODEBACHILLERATOVILCABAMBA,Loja_Province,LOJA,VILCABAMBA(VICTORIA),COLEGIO DE BACHILLERATO VILCABAMBA,10,34,5
COLEGIODEBACHILLERATOZAPOTILLO,Loja_Province,ZAPOTILLO,ZAPOTILLO,COLEGIO DE BACHILLERATO ZAPOTILLO,18,4,133
COLEGIONACIONALNOCTURNOCATAMAYO,Loja_Province,CATAMAYO,CATAMAYO,COLEGIO NACIONAL NOCTURNO CATAMAYO,26,2,220
ESCUELADEEDUCACIONBASICACABOCASTILLO,Loja_Province,ESPINDOLA,BELLAVISTA,ESCUELA DE EDUCACION BASICA CABO CASTILLO,14,0,92
COLEGIODEBACHILLERATOFRONTERASUR,Loja_Province,PALTAS,CANGONAMA,COLEGIO DE BACHILLERATO FRONTERA SUR,9,2,32
ESCUELADEEDUCACIONBASICAGENERALMOISESOLIVA,Loja_Province,CALVAS,UTUANA,ESCUELA DE EDUCACION BASICA GENERAL MOISES OLIVA,17,4,89
ESCUELADEEDUCACI�NB�SICALAURODAMERVALAYORAN1,Loja_Province,LOJA,SANSEBASTIAN,ESCUELA DE EDUCACI�N B�SICA LAURO DAMERVAL AYORA N 1,15,56,2
COLEGIODEBACHILLERATOMANUELJOSEJARAMILLO,Loja_Province,PALTAS,CASANGA,COLEGIO DE BACHILLERATO MANUEL  JOSE  JARAMILLO,9,4,58
COLEGIODEBACHILLERATOMACANDAMINE,Loja_Province,PALTAS,CASANGA,COLEGIO DE BACHILLERATO MACANDAMINE,8,3,38
INSTITUTOTECNOLOGICOSUPERIORCARIAMANGA,Loja_Province,CALVAS,CARIAMANGA,INSTITUTO TECNOLOGICO SUPERIOR CARIAMANGA,50,9,189
