URI_Name,Provincia,Canton,Parroquia,Tipo,EstudiantesFemenino,EstudiantesMasculino,Total_Alumnos
UNIDADEDUCATIVACOMUNITARIAINTERCULTURALBILINGUETUPAKYUPANKI,Loja_Province,SARAGURO,SARAGURO,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE TUPAK YUPANKI,6,18,0
UECOMUNITARIAINTERCULTURALBILINGUEINKASAMANA,Loja_Province,SARAGURO,SARAGURO,UE COMUNITARIA INTERCULTURAL BILINGUE INKA SAMANA,14,2,43
COLEGIODEBACHILLERATOSARAGURO,Loja_Province,SARAGURO,SARAGURO,COLEGIO DE BACHILLERATO SARAGURO,26,28,54
COLEGIODEBACHILLERATOnUKANCHIKKAWSAYPARAPCEI,Loja_Province,SARAGURO,SARAGURO,COLEGIO DE BACHILLERATO �UKANCHIK KAWSAY PARA PCEI,4,0,57
UNIDADEDUCATIVAFISCOMISIONALSANJUANBAUTISTA,Loja_Province,CATAMAYO,CATAMAYO,UNIDAD EDUCATIVA FISCOMISIONAL SAN JUAN BAUTISTA,25,3,211
UNIDADEDUCATIVAFISCOMISIONALSANTAJUANADEARCOLASALLE,Loja_Province,CALVAS,CARIAMANGA,UNIDAD EDUCATIVA FISCOMISIONAL SANTA JUANA DE ARCO LA SALLE,46,4,346
UNIDADEDUCATIVAFRANCISCODEORELLANA,Loja_Province,ZAPOTILLO,LIMONES,UNIDAD EDUCATIVA FRANCISCO DE ORELLANA,12,0,78
UNIDADEDUCATIVAGONZANAMA,Loja_Province,GONZANAMA,GONZANAMA,UNIDAD EDUCATIVA GONZANAMA,13,41,9
UNIDADEDUCATIVAGREGORIOMARAnON,Loja_Province,ZAPOTILLO,BOLASPAMBA,UNIDAD EDUCATIVA GREGORIO MARA�ON,8,0,56
UNIDADEDUCATIVAJOS�MAR�ARIOFR�O,Loja_Province,ESPINDOLA,BELLAVISTA,UNIDAD EDUCATIVA JOS� MAR�A RIOFR�O,13,1,68
UNIDADEDUCATIVALADOLOROSA,Loja_Province,CHAGUARPAMBA,CHAGUARPAMBA,UNIDAD EDUCATIVA LA DOLOROSA,29,0,213
UNIDADEDUCATIVALAPORCIUNCULA,Loja_Province,LOJA,ELSAGRARIO,UNIDAD EDUCATIVA LA PORCIUNCULA,47,12,829
UNIDADEDUCATIVAMANUELIGNACIOMONTEROVALDIVIESO,Loja_Province,LOJA,SUCRE,UNIDAD EDUCATIVA MANUEL IGNACIO MONTERO VALDIVIESO,18,8,26
UNIDADEDUCATIVAFISCOMISIONALSANJOSEDECALASANZ,Loja_Province,SARAGURO,SARAGURO,UNIDAD EDUCATIVA FISCOMISIONAL SAN JOSE DE CALASANZ,72,13,585
UNIDADEDUCATIVAMONSLUISALFONSOCRESPO,Loja_Province,ESPINDOLA,AMALUZA,UNIDAD EDUCATIVA MONS LUIS ALFONSO CRESPO,48,4,331
UNIDADEDUCATIVAMONSEnORSANTIAGOFERNANDEZGARC�A,Loja_Province,CALVAS,COLAISACA,UNIDAD EDUCATIVA MONSE�OR SANTIAGO FERNANDEZ GARC�A,55,123,15
UNIDADEDUCATIVAMUSHUKRIMAK,Loja_Province,LOJA,SANLUCAS,UNIDAD EDUCATIVA MUSHUK RIMAK,25,2,209
UNIDADEDUCATIVAFISCOMISIONALFRAYCRIST�BALZAMBRANO,Loja_Province,SARAGURO,SARAGURO,UNIDAD EDUCATIVA FISCOMISIONAL FRAY CRIST�BAL ZAMBRANO,23,1,171
COLEGIODEBACHILLERATOVICENTEBASTIDASREINOSO,Loja_Province,SARAGURO,SELVAALEGRE,COLEGIO DE BACHILLERATO VICENTE BASTIDAS REINOSO,12,3,96
ESCUELADEEDUCACI�NB�SICAORILLASDELJUBONES,Loja_Province,SARAGURO,SUMAYPAMBA,ESCUELA DE EDUCACI�N B�SICA ORILLAS DEL JUBONES,4,13,0
COLEGIOPROFESORVIRGILIOABARCAMONTESINOS,Loja_Province,SARAGURO,URDANETA(PAQUISHAPA),COLEGIO PROFESOR VIRGILIO ABARCA MONTESINOS,22,3,167
ESCUELADEEDUCACIONBASICAMARIETADEVEINTIMILLA,Loja_Province,LOJA,VALLE,ESCUELA DE EDUCACION BASICA MARIETA DE VEINTIMILLA,19,52,4
I.E.ESPECIALDELOJANO.2,Loja_Province,LOJA,VALLE,I.E. ESPECIAL DE LOJA NO. 2,14,1,17
SERVICIOECUATORIANODECAPACITACI�NPROFESIONALSECAP,Loja_Province,LOJA,VALLE,SERVICIO ECUATORIANO DE CAPACITACI�N PROFESIONAL SECAP,2,16,
UNIDADEDUCFISCOMISIONALPARAPCEIJOSEMARIAVELAZEXT1LOJA,Loja_Province,LOJA,VALLE,UNIDAD EDUC FISCOMISIONAL PARA PCEI JOSE MARIA VELAZ EXT 1 LOJA,9,2,92
UNIDADEDUCATIVACOMILN5LAUROGUERRERO,Loja_Province,LOJA,VALLE,UNIDAD EDUCATIVA COMIL N 5 LAURO GUERRERO,62,20,473
UNIDADEDUCATIVAFERNANDOSUAREZPALACIO,Loja_Province,LOJA,VALLE,UNIDAD EDUCATIVA FERNANDO SUAREZ PALACIO,21,2,185
UNIDADEDUCATIVAFISCOMISIONALPARAPCIHERMANOANGELPASTRANA,Loja_Province,LOJA,VALLE,UNIDAD EDUCATIVA FISCOMISIONAL  PARA PCI HERMANO ANGEL PASTRANA,65,1,514
UNIDADEDUCATIVAFISCOMISIONALCALASANZ,Loja_Province,LOJA,VALLE,UNIDAD EDUCATIVA FISCOMISIONAL CALASANZ,29,88,24
COLEGIODEBACHILLERATOFRANCISCOVALDIVIESOALVARADO,Loja_Province,PALTAS,YAMANA,COLEGIO DE BACHILLERATO FRANCISCO VALDIVIESO ALVARADO,8,3,34
UNIDADEDUCATIVAPARTICULARATENEO,Loja_Province,LOJA,ELSAGRARIO,UNIDAD EDUCATIVA PARTICULAR ATENEO,25,6,134
UNIDADEDUCATIVAPARTICULARJOSEANTONIOEGUIGURENLASALLE,Loja_Province,LOJA,ELSAGRARIO,UNIDAD EDUCATIVA PARTICULAR JOSE ANTONIO EGUIGUREN  LA SALLE,45,19,314
UNIDADEDUCATIVAPARTICULARJUANMONTALVO,Loja_Province,LOJA,SANSEBASTIAN,UNIDAD EDUCATIVA PARTICULAR JUAN MONTALVO,18,8,75
UNIDADEDUCATIVASANFRANCISCODEASIS,Loja_Province,LOJA,ELSAGRARIO,UNIDAD EDUCATIVA SAN FRANCISCO DE ASIS,62,8,612
UNIDADEDUCATIVASANVICENTEDEPA�L,Loja_Province,GONZANAMA,CHANGAIMINA(LALIBERTAD),UNIDAD EDUCATIVA SAN VICENTE DE PA�L,26,6,218
UNIDADEDUCATIVASANGUILLIN,Loja_Province,CALVAS,SANGUILLIN,UNIDAD EDUCATIVA SANGUILLIN,16,4,112
UNIDADEDUCATIVASANTAMARIANADEJESUS,Loja_Province,LOJA,ELSAGRARIO,UNIDAD EDUCATIVA SANTA MARIANA DE JESUS,56,22,1.199
UNIDADEDUCATIVASANTAMARIANADEJESUS,Loja_Province,MACARA,MACARA(MANUELENRIQUERENGELSUQUILANDA),UNIDAD EDUCATIVA SANTA MARIANA DE JESUS,37,3,493
UNIDADEDUCATIVASANTATERESITA,Loja_Province,CELICA,CELICA,UNIDAD EDUCATIVA SANTA TERESITA,47,4,354
UNIDADEDUCATIVATIOPAMBA,Loja_Province,ESPINDOLA,AMALUZA,UNIDAD EDUCATIVA TIOPAMBA,16,3,79
